;instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
0;centro universitario anhanguera de sao paulo;ciencia da computacao;0;3;35.0;63;51;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;80.95
1;centro universitario barao de maua;ciencia da computacao;5;2;35.0;37;26;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;71.43;28.57;70.27
2;centro universitario campo limpo paulista;ciencia da computacao;3;3;35.0;47;10;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;50.0;50.0;21.28
3;centro universitario campos de andrade;ciencia da computacao;32;2;41.0;44;33;computacao e tecnologias da informacao e comunicacao (tic);34;0.29;94.12;5.88;75.0
4;centro universitario carlos drummond de andrade;ciencia da computacao;1;5;35.0;60;32;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;16.67;83.33;53.33
5;centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;2;31.0;19;10;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;52.63
6;centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;0;22;35.0;75;36;computacao e tecnologias da informacao e comunicacao (tic);22;0.19;0.0;100.0;48.0
7;centro universitario das faculdades metropolitanas unidas;ciencia da computacao;0;29;35.0;260;165;computacao e tecnologias da informacao e comunicacao (tic);29;0.25;0.0;100.0;63.46
8;centro universitario de belo horizonte;ciencia da computacao;30;0;31.0;141;85;computacao e tecnologias da informacao e comunicacao (tic);30;0.26;100.0;0.0;60.28
9;centro universitario de itapira uniesi;ciencia da computacao;0;1;35.0;11;11;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
10;centro universitario de jaguariuna;ciencia da computacao;0;8;35.0;45;23;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;51.11
11;centro universitario de joao pessoa;ciencia da computacao;0;6;25.0;148;99;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;66.89
12;centro universitario dinamica das cataratas;ciencia da computacao;0;1;41.0;30;21;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;70.0
13;centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;6;1;53.0;148;104;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;85.71;14.29;70.27
14;centro universitario do norte;ciencia da computacao;0;6;13.0;178;139;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;78.09
15;centro universitario do sul de minas;ciencia da computacao;0;1;31.0;46;20;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;43.48
16;centro universitario dos guararapes;ciencia da computacao;0;5;26.0;240;132;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;55.0
17;centro universitario estacio de ribeirao preto;ciencia da computacao;0;2;35.0;78;50;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;64.1
18;centro universitario euripedes de marilia;ciencia da computacao;1;4;35.0;51;24;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;20.0;80.0;47.06
19;centro universitario facvest;ciencia da computacao;0;24;42.0;46;30;computacao e tecnologias da informacao e comunicacao (tic);24;0.2;0.0;100.0;65.22
20;centro universitario fadergs;ciencia da computacao;0;2;43.0;64;29;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;45.31
21;centro universitario farias brito;ciencia da computacao;0;5;23.0;93;64;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;68.82
22;centro universitario favip wyden;ciencia da computacao;8;0;26.0;48;27;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;100.0;0.0;56.25
23;centro universitario fbv wyden;ciencia da computacao;16;0;26.0;46;33;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;100.0;0.0;71.74
24;centro universitario filadelfia;ciencia da computacao;0;5;41.0;61;40;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;65.57
25;centro universitario luterano de palmas;ciencia da computacao;0;18;17.0;49;35;computacao e tecnologias da informacao e comunicacao (tic);18;0.15;0.0;100.0;71.43
26;centro universitario mauricio de nassau;ciencia da computacao;0;4;26.0;111;61;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;54.95
27;centro universitario metrocamp wyden;ciencia da computacao;17;0;35.0;44;17;computacao e tecnologias da informacao e comunicacao (tic);17;0.14;100.0;0.0;38.64
28;centro universitario nossa senhora do patrocinio;ciencia da computacao;0;8;35.0;99;62;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;62.63
29;centro universitario padre anchieta;ciencia da computacao;0;1;35.0;61;39;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;63.93
30;centro universitario ritter dos reis;ciencia da computacao;0;10;43.0;179;89;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;49.72
31;centro universitario ruy barbosa wyden;ciencia da computacao;26;0;29.0;47;35;computacao e tecnologias da informacao e comunicacao (tic);26;0.22;100.0;0.0;74.47
32;centro universitario sagrado coracao;ciencia da computacao;2;3;35.0;48;28;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;40.0;60.0;58.33
33;centro universitario senac;ciencia da computacao;2;1;35.0;43;36;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;83.72
